,song,artist,genre,actual_lyrics
42,Holy Grail,JAY-Z (Ft. Justin Timberlake),Hip-Hop,"[""You'd take the clothes off my back and I'd let you Yeah"", ""You'd steal the food right out my mouth and I'd watch you eat it"", ""I still don't know why Yeah"", 'Why I love it so much Thanks for warning me yeah', 'Oh Thanks for warning me yeah', 'You curse my name in spite to put me to shame Yeah', 'Hang my laundry in the streets dirty or clean give it up for fame Yeah', ""But I still don't know why Don't know why"", 'Why I love it so much Thanks for warning me yeah yeah', 'Yeah Thanks for warning me yeah yeah', ""And baby it's amazin' I'm in this maze with you"", ""I just can't crack your code"", ""One day you're screamin' you love me loud"", ""The next day you're so cold"", ""One day you're here Yeah one day you're there Yeah"", 'One day you care Yeah', ""you're so unfair"", ""Sippin' from your cup 'til it runneth over Uh uh yeah"", 'Holy Grail', 'Uh Blue told me remind you niggas uh', ""Fuck that shit y'all talkin' 'bout I'm the nigga uh Yeah"", 'Caught up in all these lights and cameras uh', 'But look what that shit did to Hammer Yeah uh', 'Goddamn it I like it', ""Bright lights is enticin'But look what it did to Tyson"", 'All that money in one night', ""Thirty mil' for one fight"", 'But soon as all that money blows', 'All the pigeons take flight', ""Fuck the fame keep cheatin' on me"", 'What I do I took her back', ""Fool me twice that's my bad"", ""I can't even blame her for that"", 'Enough to make me wanna murder', 'Momma please just get my bail', 'I know nobody to blame', 'Kurt Cobain I did it to myself uh']"
43,DNA.,Kendrick Lamar,Rap,"['I got I got I got I got', 'Loyalty got royalty inside my DNA', 'Cocaine quarter piece got war and peace inside my DNA', 'I got power poison pain and joy inside my DNAI got hustle though ambition flow inside my DNA', 'I was born like this since one like this immaculate conception', 'I transform like this perform like this was Yeshua new weapon', ""I don't contemplate I meditate then off your fucking head"", 'This that putthekidstobed', 'This that I got I got I got I got', ""Realness I just kill shit cause it's in my DNA"", ""I got millions I got riches buildin' in my DNA"", 'I got dark I got evil that rot inside my DNAI got off I got troublesome heart inside my DNA', 'I just win again then win again like Wimbledon I serve', 'Yeah thats him again the sound that engine in is like a bird', 'You see fireworks and Corvette tire skrrt the boulevard', 'I know how you work I know just who you are', ""See you's a you's a you's a"", 'Bitch your hormones prolly switch inside your DNAProblem is all that sucker shit inside your DNADaddy prolly snitched heritage inside your DNA', ""Backbone don't exist born outside a jellyfish I gauge"", ""See my pedigree most definitely don't tolerate the front"", ""Shit I've been through prolly offend you this is Paula's oldest son"", 'I know murder conviction burners boosters burglars ballers dead Redemption scholars fathers dead with kids', 'And I wish I was fed forgiveness', ""Yeah yeah yeah yeah soldiers DNA Im a soldier's DNABorn inside the beast my expertise checked out in second grade"", 'When I was nine on sale motel we didnt have nowhere to stay', ""At twentynine I've done so well hit cartwheel in my estate"", ""And I'm gon' shine like Im supposed to antisocial extrovert"", 'And excellent mean the extra work', 'And absentness what the fuck you heard', 'And pessimists never struck my nerve', 'And Nazareth gonna plead his case', ""The reason my power's here on earth"", 'Salute the truth when the prophet say']"
44,Do I Wanna Know?,Arctic Monkeys,Alternative Rock,"['Have you got colour in your cheeks', ""Do you ever get that fear that you can't shift the type"", 'That sticks around like summat in your teeth', 'Are there some aces up your sleeve', ""Have you no idea that you're in deep"", ""I've dreamt about you nearly every night this week"", 'How many secrets can you keep', ""Cause there's this tune I found"", ""That makes me think of you somehow an' I play it on repeat"", ""Until I fall asleep spillin' drinks on my settee"", ""Do I wanna know If this feelin' flows both ways"", ""Sad to see you go Was sorta hopin' that you'd stay"", 'Baby we both know That the nights were mainly made', ""For sayin' things that you can't say tomorrow day"", ""Crawlin' back to you"", ""Ever thought of callin' when"", ""You've had a few'Cause I always do"", ""Maybe I'm too"", ""Busy bein' yours"", 'To fall for somebody new', ""Now I've thought it through"", ""Crawlin' back to you""]"
45,Take Me to Church,Hozier,Alternative Rock,"[""My lover's got humour"", ""She's the giggle at a funeral"", ""Knows everybody's disapproval"", ""I should've worshipped her sooner"", 'If the heavens ever did speak', ""She's the last true mouthpiece"", ""Every Sunday's gettin' more bleak"", 'A fresh poison each week', 'We were born sick you heard them say it', 'My church offers no absolutes', 'She tells me Worship in the bedroom', ""The only heaven I'll be sent to"", ""Is when I'm alone with you"", 'I was born sick but I love it', 'Command me to be well', 'A amen', 'Amen amen', 'Take me to church', ""I'll worship like a dog at the shrine of your lies"", ""I'll tell you my sins and you can sharpen your knife"", 'Offer me that deathless death', 'Take me to church', ""I'll worship like a dog at the shrine of your lies"", ""I'll tell you my sins and you can sharpen your knife"", 'Offer me that deathless death']"
46,No Role Modelz,J. Cole,Rap,"['First things first rest in peace Uncle Phil', 'For real', 'You the only father that I ever knew', ""I get my bitch pregnant I'ma be a better you"", 'Prophecies that I made way back in the Ville', 'Fulfilled', 'Listen even back when we was broke my team ill', 'Martin Luther King woulda been on Dreamville talk to a nigga', 'One time for my L.A. sisters', 'One time for my L.A. ho', ""Lame niggas can't tell the difference"", 'One time for a nigga who know', ""Don't save her she don't wanna be saved"", ""Don't save her she don't wanna be saved"", ""Don't save her she don't wanna be saved"", ""Don't save her she don't wanna be saved"", ""No role models and I'm here right now"", 'No role models to speak of', ""Searchin' through my memory my memory I couldn't find one"", ""Last night I was gettin' my feet rubbed by the baddest bitch"", 'Not Trina but I swear to God', ""this bitch'll make you call your girl up"", ""And tell her Hey what's good"", ""Sorry I'm never comin' home I'ma stay for good"", 'Then hang the phone up and proceed to lay the wood', 'I came fast like 911 in White neighborhoods', ""Ain't got no shame 'bout it"", ""She think I'm spoiled and I'm rich 'cause I can have any bitch"", 'I got defensive and said Nah I was the same without it', 'But then I thought back back to a better me', ""Before I was a Blist celebrity'Fore I started callin' bitches bitches so heavily"", ""Back when you could get a platinum plaque without no melody you wadn't sweatin' me""]"
47,Look At Me!,XXXTENTACION,Rap,"[""Can't keep my dick in my pants ayy"", ""She kick me out I'm like Vro"", 'Interlude', ""Damn son where'd you find this"", 'Yah ayy', 'Yah ayy yah', 'Ayy haha yah yah yah', 'Ayy', 'Ayy ayy ayy', ""Can't keep my dick in my pants ayy"", ""She kick me out I'm like Vro ayy"", 'Look at my wrist about ten ayy', 'Just got a pound of the boof ayy', 'Tommy my Hilfiger voots ayy', 'I just got lean on my Ksubis ayy', 'I got a Uzi no Uzi']"
48,Formation,Beyoncé,Rap,"[""What happened at the New Wil'ins"", ""Bitch I'm back by popular demand"", ""Y'all haters corny with that Illuminati mess"", 'Paparazzi catch my fly and my cocky fresh', ""I'm so reckless when I rock my Givenchy dress Stylin"", ""I'm so possessive so I rock his Roc necklaces"", 'My daddy Alabama momma Louisiana', 'You mix that negro with that Creole make a Texas bama', 'I like my baby heir with baby hair and afros', 'I like my negro nose with Jackson Five nostrils', 'Earned all this money but they never take the country out me', 'I got hot sauce in my bag swag', 'Interlude Messy Mya  Big Freedia', 'Oh yeah baby oh yeah I oh oh yes I like that', 'I did not come to play with you hoes haha', 'I came to slay bitch', 'I like cornbreads and collard greens bitch', 'Oh yes you besta believe it', 'Refrain Beyonc', ""Y'all haters corny with that lluminati mess"", 'Paparazzi catch my fly and my cocky fresh', ""I'm so reckless when I rock my Givenchy dress Stylin"", ""I'm so possessive so I rock his Roc necklaces"", 'My daddy Alabama momma Louisiana', 'You mix that negro with that Creole make a Texas bama', 'I like my baby heir with baby hair and afros', 'I like my negro nose with Jackson Five nostrils', 'Earned all this money but they never take the country out me', 'I got hot sauce in my bag swag']"
49,One Dance,Drake (Ft. Kyla & Wizkid),R&B,"['Refrain Kyla', 'Baby I like your style', 'Grips on your waist front way back way', ""You know that I don't play"", 'Streets not safe but I never run away', ""Even when I'm away"", 'Oti oti', ""There's never much love when we go OTI pray to make it back in one piece"", 'I pray I pray', ""That's why I need a one dance"", 'Got a Hennessy in my hand', ""One more time 'fore I go"", 'Higher powers taking a hold on me', 'I need a one dance', 'Got a Hennessy in my hand', ""One more time 'fore I go"", 'Higher powers taking a hold on me', 'Refrain Kyla', 'Baby I like your style']"
50,Alexander Hamilton,"Leslie Odom Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton",Rap,"['AARON BURR', 'How does a', 'by providence impoverished in squalor', 'Grow up to be a hero and a scholar', 'The tendollar Founding Father without a father', 'Got a lot farther by working a lot harder', 'By being a lot smarter by being a selfstarter', 'By fourteen they placed him in charge of a trading charter', 'THOMAS JEFFERSON', 'And every day while slaves were being slaughtered and carted', 'Away across the waves he struggled and kept his guard up', 'Inside he was longing for something to be a part of', 'The brother was ready to beg steal borrow or barter', 'Then a hurricane came and devastation reigned', 'Our man saw his future drip dripping down the drain', 'Put a pencil to his temple connected it to his brain', 'And he wrote his first refrain a testament to his pain', 'Well the word got around they said This kid is insane man', 'Took up a collection just to send him to the mainland', ""Get your education don't forget from whence you came and"", ""The world's gonna know your name what's your name man""]"
51,Panda,Desiigner,Rap,"[""This what they all been waitin' for I guess so Grrah"", ""They been waitin' for this shit for a long time didn't they Git git git grrah"", ""This what they all been waitin' for I guess so"", ""They been waitin' for this shit for a long time didn't they Git git git grrah"", ""Ayy I'm just feelin' my vibe right now Ayy"", ""I'm feelin' myself Grrah"", 'Credit cards and the scammers Woo', ""Hittin' off licks in the bando Git"", ""Goin' out like I'm Montana Grrah"", 'Hundred killas hundred hammers Git grrah', ""Sellin' bar candy Git git"", ""Man I'm the macho like Randy Woo"", 'Bitch nigga pull up ya panty Woo', 'Hope you killas understand me Grrah', 'Credit cards and the scammers', ""Hittin' off licks in the bando Grrah"", ""Goin' out like I'm Montana Grrah"", 'Hundred killas hundred hammers Grrah', ""Sellin' bar candy Ooh"", ""Man I'm the macho like Randy Git"", 'Bitch nigga pull up ya panty Grrah', 'Hope you killas understand me Grrah']"
52,Love Yourself,Justin Bieber,Pop,"['For all the times that you rained on my parade', 'And all the clubs you get in using my name', ""You think you broke my heart oh girl for goodness' sake"", ""You think I'm cryin' on my own well I ain't"", ""And I didn't wanna write a song'Cause I didn't want anyone thinking I still care"", ""I don't but you still hit my phone up"", ""And baby I'll be movin' on"", ""And I think you should be somethin' I don't wanna hold back"", 'Maybe you should know that', ""My mama don't like you and she likes everyone"", 'And I never like to admit that I was wrong', ""And I've been so caught up in my job didn't see what's going on"", ""But now I know I'm better sleeping on my own"", 'Cause if you like the way you look that much', 'Oh baby you should go and love yourself', ""And if you think that I'm still holdin' on to somethin'You should go and love yourself""]"
53,XXX.,Kendrick Lamar (Ft. U2),Rap,"['America', ""God bless you if it's good to you"", 'America please take my hand', 'Can you help me underst', 'New Kung Fu Kenny', ""Throw a steak off the ark to a pool full of sharks he'll take it"", ""Leave him in the wilderness with a sworn nemesis he'll make it He'll make it"", ""Take the gratitude from him I bet he'll show you somethin' woah Woah"", ""I chip a nigga lil' bit of nothin'I chip a nigga lil' bit of nothin'I chip a nigga lil' bit of nothin'I chip a nigga then throw the blower in his lap"", 'Walk myself to the court like Bitch I did that Xrated', ""Johnny don't wanna go to school no more no more"", ""Johnny said books ain't cool no more No more"", 'Johnny wanna be a rapper like his big cousin', ""Johnny caught a body yesterday out hustlin'God bless America you know we all love him"", 'Yesterday I got a call like from my dog like 101Said they killed his only son because of insufficient funds', ""He was sobbin' he was mobbin' way belligerent and drunk"", ""Talkin' out his head philosophin' on what the Lord had done"", 'He said KDot can you pray for me It been a fucked up day for me', 'I know that you anointed show me how to overcome', ""He was lookin' for some closure hopin' I could bring him closer"", 'To the spiritual my spirit do know better but I told him', ""I can't sugarcoat the answer for you this is how I feel"", ""If somebody kill my son that mean somebody gettin' killed"", 'Tell me what you do for love loyalty and passion of', 'All the memories collected moments you could never touch', ""I wait in front a nigga's spot and watch him hit his block"", ""I catch a nigga leavin' service if that's all I got"", 'I chip a nigga then throw the blower in his lap', 'Walk myself to the court like Bitch I did that', ""Ain't no Black Power when your baby killed by a coward"", ""I can't even keep the peace don't you fuck with one of ours"", 'It be murder in the street it be bodies in the hour', 'Ghetto bird be on the street paramedics on the dial', 'Let somebody touch my mama touch my sister touch my woman', 'Touch my daddy touch my niece touch my nephew touch my brother', 'You should chip a nigga then throw the blower in his lap']"
54,Fly Me to the Moon,Frank Sinatra & Count Basie,Jazz,"['And let me see what spring is like', 'On a', 'Jupiter and Mars', 'Fill my heart with song', 'And let me sing forevermore', 'You are all I long for', 'All I worship and adore', 'In other words please be true', 'In other words I love you', 'Fill my heart with song', 'Let me sing forevermore', 'You are all I long for', 'All I worship and adore', 'In other words please be true', 'In other words in other words', 'I love you']"
55,Houdini,Eminem,Hip-Hop,"[""Hey Em it's Paul"", 'Uh I was listening to the album', ""Good fucking luck you're on your own"", ""Guess who's back back again"", ""Shady's back tell a friend"", ""Guess who's back guess who's back"", ""Guess who's back guess who's back"", ""Guess who's back guess who's back"", ""Guess who's back"", 'Dadada da da da da da da', 'Dadada da da da da', 'Well look what the stork brung', 'What Little baby devil with the forked tongue', ""And it's stickin' out yeah like a sore thumb"", 'Bleah With a forehead that it grew horns from', 'Still a white jerk', ""Pullin' up in a Chrysler to the cypher with the vic's percs and a Bud Light shirt"", ""Lyrical technician an electrician y'all light work"", ""And I don't gotta play pretend it's you I make believe"", ""And you know I'm here to stay 'cause me"", 'If I was to ever take a leave It would be aspirin to break a feve', 'If I was to ask for Megan Thee Stallion if she would collab with me', 'Would I really have a shot at a feat Ha', ""I don't know but I'm glad to be back like""]"
56,Die With A Smile,Lady Gaga & Bruno Mars,Alternative Rock,"[""So I'ma love you every night like it's the last night"", ""Like it's the last night""]"
57,meet the grahams,Kendrick Lamar,Rap,"['Dear Adonis', ""I'm sorry that that man is your father let me be honest"", 'It takes a man to be a man your dad is not responsive', 'I look at him and wish your grandpa woulda wore a condom', ""I'm sorry that you gotta grow up and then stand behind him"", ""Life is hard I know the challenge is always gon' beat us home"", 'Sometimes our parents make mistakes that affect us until we grown', ""And you're a good kid that need good leadership"", ""Let me be your mentor since your daddy don't teach you shit"", 'Never let a man piss on your leg son', 'Either you die right there or pop that man in the head son', ""Never fall in the escort business that's bad religion"", 'Please remember you could be a bitch even if you got bitches', ""Never codeswitch whether right or wrong you're a Black man"", ""Even if it don't benefit your goals do some pushups get some discipline"", ""Don't cut them corners like your daddy did fuck what Ozempic did"", ""Don't pay to play with them Brazilians get a gym membership"", ""Understand no throwin' rocks and hidin' hands that's law"", ""Don't be ashamed 'bout who you wit' that's how he treat your moms"", ""Don't have a kid to hide a kid to hide again be sure"", 'Five percent will comprehend but ninetyfive is lost', 'Be proud of who you are your strength come from within', ""Lotta superstars that's real but your daddy ain't one of them"", ""And you nothing like him you'll carry yourself as king"", ""Can't understand me right now Just play this when you eighteen""]"
58,Old Town Road (Remix),Lil Nas X (Ft. Billy Ray Cyrus),Country,"['Kio Kio', 'Horse tack is attached', 'Hat is matte black', ""Got the boots that's black to match""]"
59,All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],Taylor Swift,Country,"['I walked through the door with you the air was cold', ""But somethin' 'bout it felt like home somehow"", ""And I left my scarf there at your sister's house"", ""And you've still got it in your drawer even now"", 'Oh your sweet disposition and my wideeyed gaze', ""We're singin' in the car getting lost upstate"", ""Autumn leaves fallin' down like pieces into place"", ""And I know it's long gone and"", ""That magic's not here no more"", ""And I might be okay but I'm not fine at all"", ""You almost ran the red 'cause you were lookin' over at me"", 'Wind in my hair I was there', ""your cheeks were turnin' red"", 'You used to be a little kid with glasses in a twinsized bed', 'teeball team', 'And you were tossing me the car keys Fuck the patriarchy', ""Keychain on the ground we were always skippin' town"", ""And I was thinkin' on the drive down Any time now"", ""He's gonna say it's love you never called it what it was"", 'Til we were dead and gone and buried', ""Check the pulse and come back swearin' it's the same"", 'After three months in the grave', 'And then you wondered where it went to as I reached for you', 'But all I felt was shame and you held my lifeless frame']"
60,Hello,Adele,Soul,"[""Hello it's me"", ""I was wondering if after all these years you'd like to meet"", 'To go over everything', ""They say that time's supposed to heal ya"", ""But I ain't done much healin"", 'Hello can you hear me', ""I'm in California dreaming about who we used to be"", 'When we were younger and free', ""I've forgotten how it felt before the world fell at our feet"", ""There's such a difference between us"", 'And a million miles', 'Chorus', 'Hello from the other side', ""I must've called a thousand times"", ""To tell you I'm sorry for everything that I've done"", 'But when I call you never seem to be home', 'Hello from the outside', ""At least I can say that I've tried"", ""To tell you I'm sorry for breaking your heart"", ""But it don't matter it clearly doesn't tear you apart anymore"", 'Hello how are you', ""It's so typical of me to talk about myself I'm sorry"", ""I hope that you're well"", 'Did you ever make it out of that town', 'Where nothing ever happened']"
61,This Is America,Childish Gambino,Hip-Hop,"['Yeah yeah yeah yeah yeah', 'Yeah yeah yeah go go away', 'Yeah yeah yeah yeah yeah', 'Yeah yeah yeah go go away', 'Yeah yeah yeah yeah yeah', 'Yeah yeah yeah go go away', 'Yeah yeah yeah yeah yeah', 'Yeah yeah yeah go go away', 'We just wanna party', 'We just want the money', 'Money just for you Yeah', 'I know you wanna party', ""Girl you got me dancin' Girl you got me dancin'Dance and shake the frame Yeah"", 'We just wanna party Yeah', 'We just want the money Yeah', 'Money just for you You', 'I know you wanna party Yeah', ""Girl you got me dancin' Girl you got me dancin' yeah"", 'Dance and shake the frame Ooh']"
62,"Hold On, We’re Going Home",Drake (Ft. Majid Jordan),R&B,"['I got my eyes on you', ""You're everything that I see"", 'I want your heart love and emotion endlessly', ""I can't get over you"", 'You left your mark on me', 'I want your hot love and emotion endlessly', ""Cause you're a good girl and you know it"", 'You act so different around me', ""Cause you're a good girl and you know it"", 'I know exactly who you could be', ""Just hold on we're going home"", ""Just hold on we're going home"", ""It's hard to do these things alone"", 'I got my eyes on you', ""You're everything that I see"", 'I want your heart love and emotion endlessly', ""I can't get over you"", 'You left your mark on me', 'I want your hot love and emotion endlessly']"
63,I’m the One,"DJ Khaled (Ft. Chance the Rapper, Justin Bieber, Lil Wayne & Quavo)",Rap,"['We The Best Music', 'Another one', 'DJ Khaled', ""Yeah you're lookin' at the truth the money never lie no"", ""I'm the one yeah I'm the one"", ""Early mornin' in the Dawn know you wanna ride now Let's ride"", 'Quavo Woo', ""I'm the one that hit that same spot Hit it woo"", 'She the one that bring them raindrops Raindrops', 'We go back remember crisscross and hopscotch Hopscotch', ""You the one that hold me down when the block's hot Hot"", ""Ain't gotta worry 'bout them commas 'cause my cake up Cake"", ""Cause I promise when we step out you'll be famous Yeah"", ""Modernday Bonnie and Clyde what they named us Why'Cause when we pull up Brrt brrt all angles""]"
64,goosebumps,Travis Scott (Ft. Kendrick Lamar),Rap,"['Yeah730 in the night yeah', 'Ooh ooh', 'I get those goosebumps every time yeah you come around yeah', 'You ease my mind you make everything feel fine', ""Worried 'bout those comments"", ""I'm way too numb yeah it's way too dumb yeah"", 'I get those goosebumps every time I need the Heimlich', 'Throw that to the side yeah', 'I get those goosebumps every time yeah', ""When you're not around Straight up"", ""When you throw that to the side yeah It's lit"", 'I get those goosebumps every time yeah', ""713Through the 281 yeah I'm ridin' why they on me"", ""Why they on me I'm flyin' sippin' lowkey"", ""I'm sippin' lowkey in Onyx rider rider"", ""When I'm pullin' up right beside ya"", ""Pop star lil' Mariah"", 'When I text a cute game wildness', 'Throw a stack on the Bible', 'Never Snapchat or took molly', 'She fall through plenty her and all her ginnies yeah', 'We at the top floor right there off Doheny yeah', ""Oh no I can't fuck with y'all"", ""Yeah when I'm with my squad I cannot do no wrong"", ""Yeah saucin' in the city don't get misinformed"", ""Yeah they gon' pull up on you Brr brr brr"", ""Yeah we gon' do some things some things you can't relate"", ""Yeah 'cause we from a place a place you cannot stay"", ""Oh you can't go oh I don't know"", 'Oh back the fuck up off me Brr brr brr']"
65,Creep,Radiohead,Alternative Rock,"[""When you were here before couldn't look you in the eye"", ""You're just like an angel your skin makes me cry"", 'You float like a feather in a beautiful world', 'I wish I was special', ""you're so fuckin' special"", ""But I'm a creep I'm a weirdo"", ""What the hell am I doin' here"", ""I don't belong here"", ""I don't care if it hurts I wanna have control"", 'I want a perfect body I want a perfect soul', ""I want you to notice when I'm not around"", ""You're so fuckin' special I wish I was special"", ""But I'm a creep I'm a weirdo"", ""What the hell am I doin' here"", ""I don't belong here"", 'Ohoh ohoh', ""She's runnin' out the door"", ""She's runnin' out"", 'She run run run run', 'Run']"
66,All of Me,John Legend,Soul,"['What would I do without your smart mouth', 'Drawing me in and you kicking me out', ""You've got my head spinning no kidding"", ""I can't pin you down"", ""What's goin' on in that beautiful mind"", ""I'm on your magical mystery ride"", ""And I'm so dizzy don't know what hit me"", ""But I'll be alright"", ""My head's under water but I'm breathing fine"", ""You're crazy and I'm out of my mind"", 'Cause all of me loves all of you', 'Love your curves and all your edges', 'All your perfect imperfections', ""Give your all to me I'll give my all to you"", ""You're my end and my beginning"", ""Even when I lose I'm winning"", 'Cause I give you all of me', 'And you give me all of you ohoh']"
67,Jingle Bells,Christmas Songs,Pop,"['Bells on bobtails ring', 'What fun it is to ride and sing', 'A sleighing song tonight', 'Oh Jingle bells jingle bells', 'Jingle all the way', 'And soon Miss Fanny Bright', 'Was seated by my side', 'And then we got upsot']"
68,Monster,"Kanye West (Ft. Bon Iver, JAY-Z, Nicki Minaj & Rick Ross)",Hip-Hop,"['I shoot the lights out', ""Hide 'til it's bright out"", ""Bitch I'm a monster nogood bloodsucker"", ""Fat motherfucker now look who's in trouble"", 'As you run through my jungles all you hear is rumbles', ""Kanye West samples here's one for example"", 'Gossip gossip nigga just stop it', ""Everybody know I'm a motherfuckin' monster"", ""I'ma need to see your fuckin' hands at the concert"", ""I'ma need to see your fuckin' hands at the concert"", 'Profit profit nigga I got it', ""Everybody know I'm a motherfuckin' monster"", ""I'ma need to see your fuckin' hands at the concert"", ""I'ma need to see your fuckin' hands"", 'Uh the best living or dead hands down huh', 'Less talk more head right now huh', 'And my eyes more red than the devil is', ""And I'm 'bout to take it to another level bitch"", ""Matter who you go and get ain't nobody cold as this"", 'Do the rap and the track tripledouble no assists', ""And my only focus is stayin' on some bogus shit"", ""Arguin' with my older bitch actin' like I owe her shit"", 'I heard the beat the same raps that gave the track pain', 'Bought the chain that always give me back pain', ""Fuckin' up my money so yeah I had to act sane"", 'Chi nigga but these hoes love my accent', 'Chick came up to me and said This the number to dial', 'If you wanna make your number one your number two now', 'Mix that Goose and Malibu I call it Malibooyah', ""Goddamn Yeezy always hit 'em with a new style"", ""Know that motherfucker well what you gon' do now"", ""Whatever I wanna do gosh it's cool now"", ""Know I'm gonna do ah it's the new now"", 'Think you motherfuckers really really need to cool out', ""Cause you'll never get on top of this"", 'So mami best advice is just to get on top of this', 'Have you ever had sex with a pharaoh', 'Ah put the pussy in a sarcophagus', 'Now she claiming that I bruised her esophagus', 'Head of the class and she just won a swallowship', ""I'm livin' in the future so the present is my past"", 'My presence is a present kiss my ass']"
69,Mirrors,Justin Timberlake,R&B,"[""Aren't you somethin' to admire'Cause your shine is somethin' like a mirror"", ""And I can't help but notice"", 'You reflect in this heart of mine', 'If you ever feel alone and', 'The glare makes me hard to find', ""Just know that I'm always"", 'Parallel on the other side', 'Cause with your hand in my hand and a pocket full of soul', 'Just put your hand on the glass', ""I'll be tryna pull you through"", 'You just gotta be strong', 'Show me how to fight for now', ""And I'll tell you baby it was easy"", ""Comin' back here to you once I figured it out"", 'You were right here all along', 'Refrain', ""It's like you're my mirror"", ""And now it's clear as this promise"", ""That we're making"", ""Two reflections into one'Cause it's like you're my mirror"", ""Aren't you somethin' an original'Cause it doesn't seem merely assembled"", ""Ooh I can't ever change without you"", 'You reflect me I love that about you', 'And if I could IWould look at us all the time', 'Cause with your hand in my hand and a pocket full of soul', 'Just put your hand on the glass', ""I'm here tryna pull you through"", 'You just gotta be strong']"
70,Love Sosa,Chief Keef,Rap,"[""I'm tired of motherfuckers in school tellin' me always in the barbershop"", ""Chief Keef ain't 'bout this Chief Keef ain't 'bout that"", ""My boy a BD on fuckin' Lamron and them"", ""He he they say that nigga don't be puttin' in no work"", ""Shut the fuck up y'all niggas ain't know shit"", ""All y'all motherfuckers talkin' about"", ""Chief Keef ain't no hitter Chief Keef ain't this Chief Keef a fake"", ""Shut the fuck up y'all don't live with that nigga"", ""Y'all know that nigga got caught with a ratchet"", ""Shootin' at the police and shit"", ""Nigga been on probation since fuckin' I don't know when"", ""Motherfucker stop fuckin' playin' him like that"", 'Them niggas savages out there', ""If I catch another motherfucker talkin' sweet about Chief Keef"", ""I'm fuckin' beatin' they ass"", ""I'm not fuckin' playin' no more"", 'Know them niggas roll with Lil Reese and them', ""O End or no end 'Raris and Rovers ah"", 'These bitches love Sosa Ha O End or no end Yuh', ""Fuckin' with them O boys Ha you gon' get fucked over Bangbang'Raris and Rovers Bang skrrt these hoes love Chief Sosa"", 'Hit him with that Cobra Bangbang now that boy slumped over Bang bang', 'They do it all for Sosa', ""you boys ain't making no noise"", ""God y'all some broke boys Ah God y'all some broke boys Bangbang ah"", 'We GBE dope boys Bangbang GBE baby']"
71,Know Yourself,Drake,Rap,"[""Hol' it yute hol' it hol' it hol' it hol' it hol' it"", ""No sleepin' in the streets"", 'Shaky warrior', ""Yeah this that Oliver 40 Niko shit man15 Fort York shit y'know"", ""Boi1da what's poppin'Yeah yeah"", ""Runnin' through the 6 with my woes"", ""Countin' money you know how it goes"", 'Pray the real live forever man', 'Pray the fakes get exposed', 'I want that Ferrari then I swerve', 'I want that Bugatti just to hurt', ""I ain't rockin' my jewelry that's on purpose"", ""Niggas want my spot and don't deserve it"", ""I don't like how serious they take themselves"", ""I've always been me I guess I know myself"", ""Shakiness man I don't have no time for that"", ""My city too turned up I'll take the fine for that"", 'This been where you find me at', ""That's been where you find me at"", 'I know a nigga named Johnny Bling', 'He put me on to the finer things', ""Had a job sellin' Girbaud jeans"", 'I had a yellow Techno', 'Marine', 'Then Kanye dropped it was polos and backpacks', ""Man that was when Ethan was pushin' a Subaru hatchback"", ""Man I'm talkin' way before hashtags"", ""I was runnin' through the 6 with my woes"", 'Yeah']"
72,Mr. Brightside,The Killers,Rock,"[""Comin' out of my cage and I've been doin' just fine"", 'Gotta gotta be down because I want it all', 'It started out with a kiss how did it end up like this', 'It was only a kiss it was only a kiss', ""Now I'm falling asleep"", ""and she's calling a cab"", ""While he's having a smoke and she's taking a drag"", ""Now they're goin' to bed and my stomach is sick"", ""And it's all in my head"", ""but she's touching his"", 'Chest now', 'He takes off her dress now', 'Let me go', ""And I just can't look it's killing me"", ""They're taking control"", 'Jealousy', 'Turning saints into the sea', 'Swimming through sick lullabies', 'Choking on your alibi', ""But it's just the price I pay"", 'Destiny is calling me', ""Open up my eager eyes'Cause I'm Mr. Brightside""]"
73,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,Rap,"['Chorus Kendrick Lamar  Anna Wise Kendrick Lamar', 'I am a sinner', ""Who's probably gonna sin again"", 'Lord forgive me Lord forgive me', ""Things I don't understand"", 'Sometimes I need to be alone', ""Bitch don't kill my vibe bitch don't kill my vibe"", 'I can feel your energy from two planets away', ""I got my drink I got my music I would share it but today I'm yellin'Bitch don't kill my vibe bitch don't kill my vibe"", ""Bitch don't kill my vibe bitch don't kill my vibe"", 'Look inside of my soul and you can find gold and maybe get rich', 'Look inside of your soul and you can find out it never exist', ""I can say that I like a challenge and you tell me it's painless"", ""You don't know what pain is"", ""How can I paint this picture when the colorblind is hangin' witcha"", 'I can admit that it did look like yours', ""Why you resent every makin' of his"", 'Tell me your purpose is petty again', 'But even a small lighter can burn a bridge even a small lighter can burn a bridge', 'I can feel the changes', ""I can feel the new people 'round me just wanna be famous"", 'You can see that my city found me then put me on stages', ""To me that's amazin"", ""To you that's a quick check"", 'with all disrespect let me say this']"
